"usergroupname"
"Azure-Global-Administrators-aadsecg"
"Azure-Network-Administrators-aadsecg"
"Azure-Billing-Administrators-aadsecg"
"Azure-Developers-aadsecg"
"Azure-Auditors-aadsdecg"
"Azure-Ad-User-Administrators-aadsecg"
