"resourcegroupname","resourcegrouplocation"
"virtualNetworkRg","UKSOUTH"
"transitvirtualNetworkRg","UKSOUTH"
"activeDirectoryDomainServicesRg","UKSOUTH"
"baselineImagesRg","UKSOUTH"
